iter	RMSE
356	0.4882236063
357	0.4882121392
358	0.4881845465
359	0.4881431827
360	0.4880813747
361	0.4880564167
362	0.4879795534
363	0.4879666513
364	0.4879539121
365	0.4878938983
366	0.4878127896
367	0.4877685081
368	0.4877570098
369	0.487700882
370	0.487658868
371	0.4876312127
372	0.4875775632
373	0.4875559551
374	0.4875379993
375	0.4875038614
376	0.4874387195
377	0.4874168303
378	0.4874066558
379	0.4873809378
380	0.4873733042
381	0.4873517084
382	0.4873104625
383	0.4873030307
384	0.4872438748
385	0.4871962372
386	0.4871845486
387	0.4871706072
388	0.4871632302
389	0.4871338174
390	0.4871035456
391	0.4870804328
392	0.4870707622
393	0.4870595842
394	0.4870377466
395	0.4869824604
396	0.4869520873
397	0.4869338793
398	0.4869160736
399	0.4868996141
400	0.4868406935
401	0.4868123048
402	0.4868026533
403	0.4867404973
404	0.4867007725
405	0.4866911049
406	0.486678218
407	0.4866698163
408	0.486613538
409	0.4865885115
410	0.4865797666
411	0.4865457602
412	0.4865093109
413	0.486484255
414	0.4864751618
415	0.4864629399
416	0.486412772
417	0.4863609571
418	0.4863375393
419	0.4862873107
420	0.4862497426
421	0.4862258928
422	0.4861669987
423	0.4861227588
424	0.4860735601
425	0.4860561731
426	0.4860408305
427	0.4860161748
428	0.4860100371
429	0.4859984384
430	0.4859676992
431	0.4859383462
432	0.4859203108
433	0.485912586
434	0.4858551403
435	0.485839836
436	0.4858315493
437	0.4857787707
438	0.4857475026
439	0.4857399484
440	0.4857187557
441	0.4856697415
442	0.4856488659
443	0.4855961719
444	0.4855533215
445	0.4854966203
446	0.4854862536
447	0.4854545043
448	0.4853683917
449	0.4852937236
450	0.4852859924
451	0.485242576
452	0.4852058978
453	0.485186207
454	0.4851345174
455	0.4851134978
456	0.4850983262
457	0.4850683646
458	0.4850502233
459	0.4850103056
460	0.4849902446
461	0.4849837548
462	0.4849401757
463	0.4849163101
464	0.484880503
465	0.4848310675
466	0.4847857429
467	0.484752611
468	0.4847422218
469	0.4847306412
470	0.4847146617
471	0.4846599394
472	0.4846445023
473	0.4846236964
474	0.484615874
475	0.4846075567
476	0.4845665574
477	0.4845486496
478	0.4845318496
479	0.4845104583
480	0.484493669
481	0.4844831739
482	0.4844768237
483	0.4844690175
484	0.4844448829
485	0.4844370341
486	0.4844173801
487	0.4844078499
488	0.4843889796
489	0.4843768125
490	0.4843674072
491	0.4843362932
492	0.4843059576
493	0.4842654792
494	0.4842178782
495	0.4841871064
496	0.4841537652
497	0.4841250521
498	0.4841178524
499	0.4841114465
500	0.4840959096
501	0.4840800472
502	0.4840688851
503	0.4840415419
504	0.4840023236
505	0.4839842069
506	0.4839417909
507	0.4839086563
508	0.4839001261
509	0.4838923601
510	0.4838762609
511	0.483834572
512	0.4838275226
513	0.4837885061
514	0.483768371
515	0.483744863
516	0.4837387687
517	0.4837258998
518	0.4837016246
519	0.4836820488
520	0.4836324432
521	0.4836123204
522	0.4835730816
523	0.4835520253
524	0.4835122774
525	0.4834903892
526	0.4834658639
527	0.4834330673
528	0.4834257188
529	0.4834061592
530	0.4833808209
531	0.4833759347
532	0.4833409595
533	0.4833274935
534	0.4832993488
535	0.4832686837
536	0.4832536867
537	0.4831942191
538	0.4831526965
539	0.4830566463
540	0.4830386806
541	0.4830286016
542	0.4830214618
543	0.4829986033
544	0.4829859528
545	0.482971601
546	0.4829486722
547	0.4829242695
548	0.4828570549
549	0.4828473742
550	0.4828281177
551	0.4827829812
552	0.4827609516
553	0.4827550368
554	0.48273764
555	0.4826991717
556	0.4826577014
557	0.4826429115
558	0.4826093487
559	0.4825977764
560	0.4825758295
561	0.4825598121
562	0.4825033973
563	0.4824811803
564	0.4824643077
565	0.4824593026
566	0.4824536185
567	0.482406634
568	0.4823874596
569	0.4823750984
570	0.4823708806
571	0.482344409
572	0.4823306231
573	0.4823207916
574	0.482306538
575	0.4822902406
576	0.4822727756
577	0.4822420155
578	0.4822255716
579	0.4822019902
580	0.4821853347
581	0.48218034
582	0.4821640578
583	0.4821418806
584	0.4821155455
585	0.4821011589
586	0.4820950342
587	0.4820759245
588	0.4820564134
589	0.4820429308
590	0.4820319498
591	0.4819931439
592	0.4819731634
593	0.4819501803
594	0.4819254351
595	0.4818979573
596	0.4818808471
597	0.4818552219
598	0.4818428324
599	0.4818369785
600	0.481813433
601	0.4817994364
602	0.4817540073
603	0.4817172959
604	0.481694006
605	0.4816702393
606	0.4816697512
607	0.4816322404
608	0.4815946847
609	0.481540905
610	0.4815248907
611	0.4815045431
612	0.4814786461
613	0.4814737689
614	0.4814536856
615	0.4814302259
616	0.4814055903
617	0.4813868762
618	0.4813783825
619	0.4813667157
620	0.4813424359
621	0.4813120923
622	0.4812951217
623	0.4812896466
624	0.4812587641
625	0.4812522117
626	0.4812051681
627	0.4811951402
628	0.4811693753
629	0.4811572006
630	0.4811470372
631	0.4811432128
632	0.4811315774
633	0.4811069517
634	0.4810861581
635	0.4810805426
636	0.4810624278
637	0.4810571208
638	0.4810425683
639	0.48101197
640	0.4810116526
641	0.4809841031
642	0.4809708346
643	0.480970053
644	0.4809648823
645	0.4809274065
646	0.4809152415
647	0.4808647198
648	0.4808646415
649	0.4808274143
650	0.4808130168
651	0.4808054319
652	0.4807976996
653	0.4807768996
654	0.480740336
655	0.4807339942
656	0.4806994078
657	0.4806797723
658	0.4806616539
659	0.4806123909
660	0.480539657
661	0.480510712
662	0.480495868
663	0.4804905499
664	0.4804722575
665	0.4804473431
666	0.4804422069
667	0.48042352
668	0.4804199976
669	0.4804160351
670	0.4804057476
671	0.4803860479
672	0.4803769166
673	0.480351568
674	0.4803301697
675	0.480316191
676	0.4802918339
677	0.4802542205
678	0.4802293686
679	0.4802160385
680	0.4802023966
681	0.4801974269
682	0.4801633941
683	0.48012936
684	0.4801084968
685	0.4800300393
686	0.4800102224
687	0.4799747298
688	0.4799344267
689	0.4798916163
690	0.4798545087
691	0.4798436723
692	0.4798064661
693	0.479750378
694	0.4797276561
695	0.4797225566
696	0.4797133763
697	0.4797036698
698	0.4796960996
699	0.479683659
700	0.4796691582
701	0.4796621878
702	0.4796544755
703	0.4796382136
704	0.479614113
705	0.4796016949
706	0.4795920939
707	0.4795686338
708	0.4795646398
709	0.4795475619
710	0.4795322727
711	0.4795225685
712	0.4794837961
713	0.4794357356
714	0.4794179553
715	0.4794153909
716	0.4794023414
717	0.4793741954
718	0.4793586011
719	0.4793501412
720	0.479338957
721	0.4793144308
722	0.4793064947
723	0.4792970623
724	0.4792878426
725	0.4792785893
726	0.4792635078
727	0.479245412
728	0.479219688
729	0.4792003758
730	0.479160571
731	0.4791017174
732	0.4790985607
733	0.4790429185
734	0.4790241432
735	0.4790178742
736	0.4789867411
737	0.4789698071
738	0.4789545826
739	0.478923098
740	0.4788982558
741	0.4788680255
742	0.4788446347
743	0.4788358136
744	0.4788241178
745	0.4788076745
746	0.4788038623
747	0.4787712736
748	0.4787335136
749	0.4787273787
750	0.4787131715
751	0.4787087695
752	0.4786965124
753	0.4786883696
754	0.4786798686
755	0.4786652978
756	0.4786560287
757	0.4786257997
758	0.4785892965
759	0.4785858529
760	0.4785641211
761	0.4785592145
762	0.4785300122
763	0.4785162814
764	0.4785020835
765	0.4784739114
766	0.4784620471
767	0.4784573476
768	0.4784437923
769	0.4784188693
770	0.4783965344
771	0.478381628
772	0.4783589706
773	0.4783560091
774	0.4783391555
775	0.4783359289
776	0.4783093899
777	0.4783007147
778	0.4782790637
779	0.4782548943
780	0.4782308573
781	0.4782188653
782	0.4782037712
783	0.4781590191
784	0.4781435118
785	0.4781190395
786	0.4780860062
787	0.4780747769
788	0.4780606457
789	0.4780419098
790	0.478025736
791	0.4780099823
792	0.4779565123
793	0.4779453786
794	0.4779250428
795	0.4779077174
796	0.477888049
797	0.4778803871
798	0.4778725277
799	0.4778577129
